x y
-382.02197 -8.0924778e-09
-381.02194 -8.158331e-09
-380.02191 -8.2248576e-09
-379.02188 -8.2920619e-09
-378.02185 -8.3599546e-09
-377.02182 -8.4285479e-09
-376.02179 -8.497846e-09
-375.02176 -8.5678591e-09
-374.02173 -8.638599e-09
-373.0217 -8.7100743e-09
-372.02167 -8.7822878e-09
-371.02164 -8.8552582e-09
-370.02161 -8.9289905e-09
-369.02158 -9.0034965e-09
-368.02155 -9.0787851e-09
-367.02152 -9.154868e-09
-366.02149 -9.231753e-09
-365.02146 -9.3094498e-09
-364.02143 -9.3879733e-09
-363.0214 -9.467334e-09
-362.02137 -9.5475423e-09
-361.02134 -9.6286069e-09
-360.02131 -9.7105436e-09
-359.02128 -9.7933624e-09
-358.02125 -9.8770772e-09
-357.02122 -9.9616951e-09
-356.02119 -1.0047236e-08
-355.02116 -1.0133705e-08
-354.02113 -1.0221122e-08
-353.0211 -1.0309496e-08
-352.02107 -1.0398843e-08
-351.02104 -1.0489174e-08
-350.02101 -1.0580505e-08
-349.02098 -1.0672853e-08
-348.02095 -1.0766225e-08
-347.02092 -1.0860644e-08
-346.02089 -1.095612e-08
-345.02086 -1.1052674e-08
-344.02083 -1.1150315e-08
-343.0208 -1.1249066e-08
-342.02077 -1.1348939e-08
-341.02074 -1.1449952e-08
-340.02071 -1.1552123e-08
-339.02068 -1.1655471e-08
-338.02065 -1.1760012e-08
-337.02062 -1.1865767e-08
-336.02059 -1.1972753e-08
-335.02056 -1.2080991e-08
-334.02053 -1.2190496e-08
-333.0205 -1.2301296e-08
-332.02047 -1.2413406e-08
-331.02044 -1.2526852e-08
-330.02041 -1.2641652e-08
-329.02038 -1.2757834e-08
-328.02035 -1.2875412e-08
-327.02032 -1.2994417e-08
-326.02029 -1.3114871e-08
-325.02026 -1.3236803e-08
-324.02023 -1.3360232e-08
-323.0202 -1.3485186e-08
-322.02017 -1.3611692e-08
-321.02014 -1.3739779e-08
-320.02011 -1.3869476e-08
-319.02008 -1.4000814e-08
-318.02005 -1.4133819e-08
-317.02002 -1.4268522e-08
-316.01999 -1.4404957e-08
