x y
-382.02197 -8.0600695e-09
-381.02194 -1.6185661e-08
-380.02191 -2.4377445e-08
-379.02188 -3.2636095e-08
-378.02185 -4.0962294e-08
-377.02182 -4.9356738e-08
-376.02179 -5.7820129e-08
-375.02176 -6.6353177e-08
-374.02173 -7.4956603e-08
-373.0217 -8.3631138e-08
-372.02167 -9.2377518e-08
-371.02164 -1.0119649e-07
-370.02161 -1.1008882e-07
-369.02158 -1.1905527e-07
-368.02155 -1.2809661e-07
-367.02152 -1.3721364e-07
-366.02149 -1.4640716e-07
-365.02146 -1.5567797e-07
-364.02143 -1.650269e-07
-363.0214 -1.7445476e-07
-362.02137 -1.8396241e-07
-361.02134 -1.935507e-07
-360.02131 -2.0322049e-07
-359.02128 -2.1297266e-07
-358.02125 -2.228081e-07
-357.02122 -2.3272771e-07
-356.02119 -2.427324e-07
-355.02116 -2.5282309e-07
-354.02113 -2.6300073e-07
-353.0211 -2.7326627e-07
-352.02107 -2.8362067e-07
-351.02104 -2.940649e-07
-350.02101 -3.0459997e-07
-349.02098 -3.1522689e-07
-348.02095 -3.2594666e-07
-347.02092 -3.3676033e-07
-346.02089 -3.4766895e-07
-345.02086 -3.5867359e-07
-344.02083 -3.6977532e-07
-343.0208 -3.8097525e-07
-342.02077 -3.922745e-07
-341.02074 -4.0367419e-07
-340.02071 -4.1517548e-07
-339.02068 -4.2677952e-07
-338.02065 -4.3848751e-07
-337.02062 -4.5030065e-07
-336.02059 -4.6222017e-07
-335.02056 -4.742473e-07
-334.02053 -4.863833e-07
-333.0205 -4.9862945e-07
-332.02047 -5.1098706e-07
-331.02044 -5.2345745e-07
-330.02041 -5.3604197e-07
-329.02038 -5.4874197e-07
-328.02035 -5.6155886e-07
-327.02032 -5.7449404e-07
-326.02029 -5.8754896e-07
-325.02026 -6.0072506e-07
-324.02023 -6.1402385e-07
-323.0202 -6.2744684e-07
-322.02017 -6.4099555e-07
-321.02014 -6.5467156e-07
-320.02011 -6.6847647e-07
-319.02008 -6.8241189e-07
-318.02005 -6.9647949e-07
-317.02002 -7.1068094e-07
-316.01999 -7.2501797e-07
-315.01996 -7.3949231e-07
-314.01993 -7.5410575e-07
-313.0199 -7.688601e-07
-312.01987 -7.8375723e-07
-311.01984 -7.98799e-07
-310.01981 -8.1398735e-07
-309.01979 -8.2932424e-07
-308.01976 -8.4481168e-07
-307.01973 -8.604517e-07
-306.0197 -8.762464e-07
-305.01967 -8.921979e-07
-304.01964 -9.0830839e-07
-303.01961 -9.2458007e-07
-302.01958 -9.4101523e-07
-301.01955 -9.5761619e-07
-300.01952 -9.7438532e-07
-299.01949 -9.9132504e-07
-298.01946 -1.0084378e-06
-297.01943 -1.0257263e-06
-296.0194 -1.0431929e-06
-295.01937 -1.0608404e-06
-294.01934 -1.0786715e-06
-293.01931 -1.096689e-06
-292.01928 -1.1148958e-06
-291.01925 -1.1332948e-06
-290.01922 -1.1518889e-06
-289.01919 -1.1706813e-06
-288.01916 -1.1896752e-06
-287.01913 -1.2088737e-06
-286.0191 -1.2282802e-06
-285.01907 -1.2478982e-06
-284.01904 -1.2677311e-06
-283.01901 -1.2877826e-06
-282.01898 -1.3080563e-06
-281.01895 -1.3285562e-06
-280.01892 -1.349286e-06
-279.01889 -1.37025e-06
-278.01886 -1.3914521e-06
-277.01883 -1.4128968e-06
-276.0188 -1.4345884e-06
-275.01877 -1.4565315e-06
-274.01874 -1.4787307e-06
-273.01871 -1.501191e-06
-272.01868 -1.5239173e-06
-271.01865 -1.5469147e-06
-270.01862 -1.5701886e-06
-269.01859 -1.5937446e-06
-268.01856 -1.6175882e-06
-267.01853 -1.6417254e-06
-266.0185 -1.6661622e-06
-265.01847 -1.690905e-06
-264.01844 -1.7159602e-06
-263.01841 -1.7413346e-06
-262.01838 -1.7670352e-06
-261.01835 -1.7930692e-06
-260.01832 -1.8194442e-06
-259.01829 -1.8461679e-06
-258.01826 -1.8732484e-06
-257.01823 -1.9006941e-06
-256.0182 -1.9285138e-06
-255.01817 -1.9567165e-06
-254.01814 -1.9853115e-06
-253.01811 -2.0143088e-06
-252.01808 -2.0437185e-06
-251.01805 -2.0735513e-06
-250.01802 -2.103818e-06
-249.01799 -2.1345304e-06
-248.01796 -2.1657002e-06
-247.01793 -2.1973402e-06
-246.0179 -2.2294632e-06
-245.01787 -2.2620829e-06
-244.01784 -2.2952135e-06
-243.01781 -2.3288698e-06
-242.01778 -2.3630673e-06
-241.01775 -2.3978222e-06
-240.01772 -2.4331513e-06
-239.01769 -2.4690726e-06
-238.01766 -2.5056043e-06
-237.01763 -2.542766e-06
-236.0176 -2.5805779e-06
-235.01757 -2.6190612e-06
-234.01754 -2.6582384e-06
-233.01751 -2.6981327e-06
-232.01748 -2.7387686e-06
-231.01745 -2.7801719e-06
-230.01742 -2.8223696e-06
-229.01739 -2.8653899e-06
-228.01736 -2.9092627e-06
-227.01733 -2.9540191e-06
-226.0173 -2.9996922e-06
-225.01727 -3.0463163e-06
-224.01724 -3.093928e-06
-223.01721 -3.1425654e-06
-222.01718 -3.1922688e-06
-221.01715 -3.2430806e-06
-220.01712 -3.2950455e-06
-219.01709 -3.3482105e-06
-218.01706 -3.4026252e-06
-217.01703 -3.458342e-06
-216.017 -3.5154161e-06
-215.01697 -3.5739056e-06
-214.01694 -3.633872e-06
-213.01691 -3.6953802e-06
-212.01688 -3.7584988e-06
-211.01685 -3.8233001e-06
-210.01682 -3.8898607e-06
-209.01679 -3.9582615e-06
-208.01676 -4.0285882e-06
-207.01673 -4.1009312e-06
-206.0167 -4.1753863e-06
-205.01667 -4.2520551e-06
-204.01664 -4.3310449e-06
-203.01661 -4.4124696e-06
-202.01658 -4.4964496e-06
-201.01655 -4.5831128e-06
-200.01652 -4.6725948e-06
-199.01649 -4.7650392e-06
-198.01646 -4.8605985e-06
-197.01643 -4.9594345e-06
-196.0164 -5.0617191e-06
-195.01637 -5.1676347e-06
-194.01634 -5.277375e-06
-193.01631 -5.391146e-06
-192.01628 -5.5091666e-06
-191.01625 -5.6316694e-06
-190.01622 -5.758902e-06
-189.01619 -5.8911276e-06
-188.01616 -6.0286265e-06
-187.01613 -6.1716969e-06
-186.0161 -6.3206563e-06
-185.01607 -6.4758432e-06
-184.01604 -6.6376179e-06
-183.01601 -6.8063645e-06
-182.01598 -6.9824928e-06
-181.01595 -7.1664392e-06
-180.01592 -7.3586699e-06
-179.01589 -7.5596818e-06
-178.01586 -7.7700057e-06
-177.01583 -7.9902081e-06
-176.0158 -8.2208941e-06
-175.01577 -8.4627101e-06
-174.01574 -8.716347e-06
-173.01571 -8.9825432e-06
-172.01568 -9.2620883e-06
-171.01565 -9.5558271e-06
-170.01562 -9.8646631e-06
-169.01559 -1.0189563e-05
-168.01556 -1.0531564e-05
-167.01553 -1.0891772e-05
-166.0155 -1.1271377e-05
-165.01547 -1.1671651e-05
-164.01544 -1.2093958e-05
-163.01541 -1.2539759e-05
-162.01539 -1.3010625e-05
-161.01536 -1.3508237e-05
-160.01533 -1.4034399e-05
-159.0153 -1.4591052e-05
-158.01527 -1.5180273e-05
-157.01524 -1.5804299e-05
-156.01521 -1.646553e-05
-155.01518 -1.7166544e-05
-154.01515 -1.7910114e-05
-153.01512 -1.8699221e-05
-152.01509 -1.953707e-05
-151.01506 -2.0427108e-05
-150.01503 -2.1373047e-05
-149.015 -2.2378879e-05
-148.01497 -2.34489e-05
-147.01494 -2.4587741e-05
-146.01491 -2.5800383e-05
-145.01488 -2.7092196e-05
-144.01485 -2.8468964e-05
-143.01482 -2.9936921e-05
-142.01479 -3.1502783e-05
-141.01476 -3.3173795e-05
-140.01473 -3.4957763e-05
-139.0147 -3.6863107e-05
-138.01467 -3.8898908e-05
-137.01464 -4.1074958e-05
-136.01461 -4.340182e-05
-135.01458 -4.5890888e-05
-134.01455 -4.8554453e-05
-133.01452 -5.1405771e-05
-132.01449 -5.4459143e-05
-131.01446 -5.7729993e-05
-130.01443 -6.1234953e-05
-129.0144 -6.499196e-05
-128.01437 -6.9020348e-05
-127.01434 -7.3340954e-05
-126.01431 -7.797623e-05
-125.01428 -8.2950353e-05
-124.01425 -8.828935e-05
-123.01422 -9.4021219e-05
-122.01419 -0.00010017606
-121.01416 -0.00010678622
-120.01413 -0.00011388639
-119.0141 -0.00012151379
-118.01407 -0.00012970825
-117.01404 -0.00013851237
-116.01401 -0.00014797162
-115.01398 -0.00015813445
-114.01395 -0.00016905232
-113.01392 -0.00018077982
-112.01389 -0.00019337461
-111.01386 -0.00020689739
-110.01383 -0.00022141179
-109.0138 -0.00023698412
-108.01377 -0.0002536831
-107.01374 -0.00027157928
-106.01371 -0.00029074446
-105.01368 -0.00031125077
-104.01365 -0.00033316943
-103.01362 -0.00035656922
-102.01359 -0.00038151447
-101.01356 -0.00040806245
-100.01353 -0.00043626009
-99.013499 -0.00046613986
-98.013469 -0.00049771448
-97.013439 -0.00053097044
-96.01341 -0.00056585972
-95.01338 -0.00060228961
-94.01335 -0.0006401099
-93.01332 -0.00067909708
-92.01329 -0.00071893452
-91.01326 -0.00075918799
-90.01323 -0.00079927518
-89.0132 -0.00083842779
-88.01317 -0.0008756445
-87.01314 -0.00090963234
-86.01311 -0.00093873374
-85.01308 -0.00096083545
-84.01305 -0.00097325463
-83.01302 -0.00097259594
-82.01299 -0.00095457136
-81.012961 -0.0009137718
-80.012931 -0.00084337511
-79.012901 -0.00073476876
-78.012871 -0.00057705505
-77.012841 -0.00035638957
-76.012811 -5.5074412e-05
-75.012781 0.00034972367
-74.012751 0.00088785453
-73.012721 0.0015990659
-72.012691 0.0025376287
-71.012661 0.0037801352
-70.012631 0.0054393117
-69.012601 0.0076896566
-68.012571 0.010817071
-67.012541 0.01531771
-66.012512 0.02209476
-65.012482 0.032818751
-64.012452 0.050409021
-63.012422 0.079040586
-62.012392 0.12262635
-61.012362 0.18267248
-60.012332 0.25839319
-59.012302 0.34884422
-58.012272 0.45374707
-57.012242 0.57182672
-56.012212 0.69868729
-55.012182 0.82678909
-54.012152 0.94756477
-53.012122 1.0540072
-52.012093 1.1420397
-51.012063 1.2092159
-50.012033 1.2516889
-49.012003 1.2620266
-48.011973 1.2291588
-47.011943 1.1401381
-46.011913 0.98392043
-45.011883 0.75578995
-44.011853 0.45789483
-43.011823 0.096188794
-42.011793 -0.32131704
-41.011763 -0.78318839
-40.011733 -1.2721414
-39.011703 -1.7653555
-38.011673 -2.2381472
-37.011644 -2.6684593
-36.011614 -3.0395427
-35.011584 -3.338948
-34.011554 -3.5553744
-33.011524 -3.6762028
-32.011494 -3.6874593
-31.011464 -3.5757293
-30.011434 -3.3304976
-29.011404 -2.9470266
-28.011374 -2.4294254
-27.011344 -1.7928074
-26.011314 -1.0618644
-25.011284 -0.26594026
-24.011254 0.56426868
-23.011224 1.3972211
-22.011195 2.2005469
-21.011165 2.9413841
-20.011135 3.5877001
-19.011105 4.1117867
-18.011075 4.4944055
-17.011045 4.7247231
-16.011015 4.7966223
-15.010985 4.7059119
-14.010955 4.4494465
-13.010925 4.0266555
-12.010895 3.4445645
-11.010865 2.7235453
-10.010835 1.896439
-9.0108054 1.0004043
-8.0107755 0.07034517
-7.0107456 -0.86167332
-6.0107156 -1.7636893
-5.0106857 -2.6008689
-4.0106558 -3.3353369
-3.0106259 -3.9321547
