x y
-31.0 0.004379964870775532
-30.0 0.00484102182085848
-29.0 0.005396622600373484
-28.0 0.00604255031530054
-27.0 0.006741666411320467
-26.0 0.007401485421618394
-25.0 0.007868850134141177
-24.0 0.007980151433384826
-23.0 0.007661400328560501
-22.0 0.006982312999704254
-21.0 0.0061049958173371496
-20.0 0.0051893632555718465
-19.0 0.004338964409048932
-18.0 0.003597785970071885
-17.0 0.0029654003025688883
-16.0 0.0024190167563633213
-15.0 0.0019348332510641206
-14.0 0.0014945255224822801
-13.0 0.001082805906360714
-12.0 0.0006832664112638462
-11.0 0.00027554077771065294
-10.0 -0.00016121453901339774
-9.0 -0.0006436389662247848
-8.0 -0.0011850164421455547
-7.0 -0.001799218191603872
-6.0 -0.0025048225828257524
-5.0 -0.003319338499030999
-4.0 -0.004235504902690815
-3.0 -0.005195361120100801
-2.0 -0.006074964048547007
-1.0 -0.006698578834007076
0.0 -0.006908938833946548
1.0 -0.00666704501344784
2.0 -0.006088706403887867
3.0 -0.005359391450852454
4.0 -0.004628089759208998
5.0 -0.003976155856853429
6.0 -0.003433071126133273
7.0 -0.0029959766191789156
8.0 -0.0026462210222982464
9.0 -0.002364728104073309
10.0 -0.0021376406067935066
11.0 -0.00195518282675928
12.0 -0.0018096681471551383
13.0 -0.001693137240782623
14.0 -0.0015971563867360134
15.0 -0.0015155476325210073
16.0 -0.001445401617322112
17.0 -0.0013861997491330792
18.0 -0.0013384448422466633
19.0 -0.001301490745064303
20.0 -0.0012729804155065983
21.0 -0.0012514802268765606
22.0 -0.001238904332281398
23.0 -0.0012418949010093829
24.0 -0.0012699590452171536
25.0 -0.0013258061980210012
26.0 -0.0014002184881935558
27.0 -0.0014817644133077812
28.0 -0.0015636214639656722
29.0 -0.0016424339115544925
30.0 -0.0017161564544069133
31.0 -0.0017830919934999458
32.0 -0.0018416747343630215
33.0 -0.0018905161565047832
34.0 -0.001928500173297501
